"a657c82","shans1311","Thu, 26 Oct 2023 17:00:40 +1000","cleanup","",		 2 files changed, 6 insertions(+), 3 deletions(-)
"26d5d48","shans1311","Thu, 26 Oct 2023 16:52:22 +1000","cleanup","",		 7 files changed, 40 insertions(+), 40 deletions(-)
"47f91c8","shans1311","Thu, 26 Oct 2023 12:52:53 +1000","responsive, play button","",		 7 files changed, 280 insertions(+), 16 deletions(-)
"e7a70ae","shans1311","Thu, 26 Oct 2023 09:46:53 +1000","major additions","",		 27 files changed, 778 insertions(+), 454 deletions(-)
"b35a8e8","shans1311","Sun, 22 Oct 2023 21:53:31 +1000","restructured fetching","",		 15 files changed, 488 insertions(+), 236 deletions(-)
"e64954c","shans1311","Sun, 22 Oct 2023 18:30:15 +1000","made discover page and tweaks","",		 32 files changed, 937 insertions(+), 148 deletions(-)
"8715e1e","shans1311","Sun, 22 Oct 2023 11:32:30 +1000","major progress","",		 81 files changed, 1476 insertions(+), 41 deletions(-)
"228ee8c","shans1311","Mon, 9 Oct 2023 22:12:36 +1000","roadmap","",		 2 files changed, 39 insertions(+), 21 deletions(-)
"be45104","shans1311","Mon, 9 Oct 2023 21:56:43 +1000","added recently played structure","",		 5 files changed, 63 insertions(+), 8 deletions(-)
"efca1ab","shans1311","Mon, 9 Oct 2023 21:19:36 +1000","Create README.md","",		 1 file changed, 2 insertions(+)
"52887f6","shans1311","Mon, 9 Oct 2023 21:11:53 +1000","first push","",		 18 files changed, 291 insertions(+)
